sourcetype,tech_category,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc
Script:ListeningPorts,windows,operational,,low,Endpoint.Ports,Splunk,Splunk scripted input: listening ports,Splunk Add-on for Windows scripted input - listening TCP/UDP sockets via netstat-style enumeration. Network_Sessions/Inventory contributor.
Script:NetworkConfiguration,windows,operational,,low,Compute_Inventory.Network,Splunk,Splunk scripted input: network config,"Splunk Add-on for Windows scripted input - aggregate network configuration including adapters, routes, and DNS settings. Inventory data model contributor."
Script:TimesyncConfiguration,windows,operational,,low,Performance.OS.Timesync,Splunk,Splunk scripted input: time sync config,"Splunk Add-on for Windows scripted input - Windows Time service configuration (NTP source, sync interval). Critical for SIEM clock correctness assurance."
Script:TimesyncStatus,windows,operational,,low,Performance.OS.Timesync,Splunk,Splunk scripted input: time sync status,"Splunk Add-on for Windows scripted input - current Windows Time sync state, offset, last sync. Detects drift impacting investigation timelines."
secure,linux,security,EDR,high,Authentication.Authentication,Linux,Linux secure authentication logs,Generic /var/log/secure sourcetype - same content as linux_secure with the bare filename form used by some inputs.
selinux,linux,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,SELinux security policy logs,SELinux policy and enforcement messages outside the audit stream - typically setroubleshoot output and policy load notifications.
sendmail,linux,security,ESG,med,Email.All_Email,Sendmail,Sendmail mail server logs,"Sendmail MTA log - mail from/to, ruleset processing, delivery status. Feeds the Email data model."
sentinelone,security,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",SentinelOne,SentinelOne EDR logs,"SentinelOne Singularity EDR event log - threat, deep visibility process telemetry, agent and policy events. Feeds Endpoint and Malware data models."
sessionlauncher,azure,operational,,low,,Microsoft,Azure VM agent/handler logs,Azure VM remote session launcher log - session initialization for Azure Bastion or RDP via Azure agent.
sflow,network,security,,med,Network_Traffic.All_Traffic,,sFlow network traffic data,Generic sFlow sampled traffic and interface counter records - packet-sample-based flow telemetry from switches and routers. Feeds Network_Traffic.
sftp,linux,security,,med,"Network_Traffic.All_Traffic, Web.Web",,SFTP server logs,Generic SFTP server/session log - secure file transfer activity (typically via OpenSSH sshd-internal-sftp or vsftpd). Authentication data model contributor.
sharepoint,windows,security,CASB,med,"Change.All_Changes, Authentication.Authentication",Microsoft,SharePoint collaboration logs,"Microsoft SharePoint logs - site activity, document access, permission changes (typically from ULS or M365 audit log)."
siemens:mindsphere,app,operational,,none,Performance.All_Performance,Siemens,Siemens MindSphere IoT data,"Siemens MindSphere / Insights Hub IoT/OT cloud data - device telemetry, KPIs, and event streams."
slack,app,operational,,low,"Change.All_Changes, Authentication.Authentication",Slack,Slack collaboration platform logs,"Slack collaboration platform log - via the Splunk Add-on for Slack: audit log events, user activity, channel and file actions."
snmp,network,operational,,low,Performance.Performance,,SNMP network monitoring data,Generic SNMP poll/walk output sourcetype - vendor-specific OID data depending on collector. Operational performance/inventory telemetry.
snmptrap,network,operational,,med,Alerts.Alerts,,SNMP trap notifications,Generic SNMP trap/notification sourcetype - device-pushed traps with varbinds. Operational alerting feed.
snort,network,security,IDS,high,Intrusion_Detection.IDS_Attacks,Snort,Snort IDS/IPS logs,"Snort IDS/IPS alert log - signature ID, classification, source/dest IP, and packet detail. Feeds the IDS data model."
snow:alm_asset,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow asset records,ServiceNow Asset Management (alm_asset) table records collected by the Splunk Add-on for ServiceNow - financial and lifecycle attributes that complement the CMDB CI inventory.
snow:change_request,app,operational,,med,"Change.All_Changes, Ticket_Management.All_Ticket_Management",ServiceNow,ServiceNow change request records,"ServiceNow change_request table records - planned change tickets with type, risk, planned start/end windows. Critical for ES change verification workflows."
snow:change_task,app,operational,,med,"Change.All_Changes, Ticket_Management.All_Ticket_Management",ServiceNow,ServiceNow change task records,ServiceNow change_task table records - tasks under a change_request. Provides execution-level granularity for change-correlation use cases.
snow:cmdb,app,operational,,low,"Change.All_Changes, Compute_Inventory.All_Inventory",ServiceNow,ServiceNow CMDB records,ServiceNow CMDB base table snapshot - generic CI record set when more specific cmdb_ci_* tables are not collected. Foundational asset reference data.
snow:cmdb_ci,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB configuration items,ServiceNow CMDB Configuration Item (cmdb_ci) parent table - common attributes for every configuration item. Feeds the Inventory data model.
snow:cmdb_ci_app_server,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB app server records,"ServiceNow cmdb_ci_app_server records - application server CIs (Tomcat, JBoss, WebLogic etc.). Inventory data model contributor."
snow:cmdb_ci_computer,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_ci_computer records - workstation and server computer CIs. Asset enrichment source for Splunk Enterprise Security Assets and Identities.
snow:cmdb_ci_database,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB database records,ServiceNow cmdb_ci_database records - logical database CIs grouping schemas and instances. Inventory data model contributor.
snow:cmdb_ci_db_instance,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,"ServiceNow cmdb_ci_db_instance records - DB engine instance CIs (Oracle, MSSQL, PostgreSQL instances). Inventory data model contributor."
snow:cmdb_ci_infra_service,app,operational,,low,"Change.All_Changes, Compute_Inventory.All_Inventory",ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_ci_infra_service records - infrastructure service CIs that aggregate underlying technical components.
snow:cmdb_ci_network_adapter,app,operational,,low,Compute_Inventory.Network,ServiceNow,ServiceNow CMDB network adapter records,"ServiceNow cmdb_ci_network_adapter records - NIC CIs with IP, MAC, VLAN bindings. Useful for IP-to-asset correlation in ES."
snow:cmdb_ci_server,app,operational,,low,"Change.All_Changes, Compute_Inventory.All_Inventory",ServiceNow,ServiceNow CMDB server records,ServiceNow cmdb_ci_server records - physical/virtual server CIs. Primary ES Assets and Identities enrichment source from ServiceNow.
snow:cmdb_ci_service,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_ci_service records - business service CIs. Maps technical assets to business services for ES prioritization.
snow:cmdb_ci_vm_instance,app,operational,,low,Compute_Inventory.Virtual_OS,ServiceNow,ServiceNow CMDB VM instance records,ServiceNow cmdb_ci_vm_instance records - virtual machine CIs across VMware/Hyper-V/cloud hypervisors. Inventory data model contributor.
snow:cmdb_ci_web_server,app,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB web server records,"ServiceNow cmdb_ci_web_server records - web server CIs (Apache, IIS, nginx). Inventory data model contributor."
snow:cmdb_rel_ci,app,operational,,low,"Change.All_Changes, Compute_Inventory.All_Inventory",ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_rel_ci records - parent/child CI relationships. Required to reconstruct application stacks and impact graphs in Splunk.
snow:cmn_location,app,operational,,low,,ServiceNow,ServiceNow snow:cmn_location,"ServiceNow cmn_location records - physical location hierarchy (site, building, floor, room). Used for geo enrichment of assets."
snow:em_event,app,operational,,med,Alerts.Alerts,ServiceNow,ServiceNow event management,ServiceNow Event Management (em_event) records - normalized events that drove alerts/incidents in SNOW EM. Useful for closed-loop integration with Splunk ITSI.
snow:incident,app,operational,,med,Ticket_Management.All_Ticket_Management,ServiceNow,ServiceNow incident records,"ServiceNow incident table records - service-impacting tickets with state, priority, assignment_group, opened/closed timestamps. Used for IT-ops correlation and SOAR ticket sync."
snow:problem,app,operational,,med,Ticket_Management.All_Ticket_Management,ServiceNow,ServiceNow problem records,ServiceNow problem table records - root-cause investigations linked to recurring incidents. Operational quality input.
snow:sys_audit,app,operational,,med,Change.Audit_Logs,ServiceNow,ServiceNow system audit logs,ServiceNow sys_audit table - field-level audit history of changes to records when table auditing is enabled. Primary Change data model source for SNOW.
snow:sys_audit_delete,app,operational,,med,Change.Audit_Logs,ServiceNow,ServiceNow system audit delete records,ServiceNow sys_audit_delete table - record-deletion audit trail capturing what was removed and by whom. High-value Change data model contributor.
snow:sys_choice,app,operational,,low,,ServiceNow,ServiceNow snow:sys_choice,ServiceNow sys_choice table records - dropdown list value definitions per table/field. Lookup metadata used to decode coded values in other SNOW sourcetypes.
snow:sys_user,app,operational,,low,,ServiceNow,ServiceNow user records,ServiceNow sys_user table records - user account inventory and attributes. Feeds Identity_Management data model and ES Assets/Identities.
snow:sys_user_group,app,operational,,low,,ServiceNow,ServiceNow user records,ServiceNow sys_user_group table records - group inventory and parent/child group hierarchy. Identity_Management data model contributor.
snow:sysevent,app,operational,,med,"Authentication.Authentication, Change.All_Changes",ServiceNow,ServiceNow event management,ServiceNow sysevent records - internal platform event queue. Operational/diagnostic input typically combined with Workflow and Flow Designer activity.
snow:syslog_transaction,app,operational,,low,Web.Web,Linux,Linux snow:syslog_transaction,ServiceNow MID Server / agent syslog transaction events - integration and orchestration activity routed via syslog rather than the REST collector.
solarwinds:ncm,app,operational,,none,Change.All_Changes,SolarWinds,SolarWinds NCM config changes,"SolarWinds Network Configuration Manager change log - per-device config snapshot, diff, and admin push activity. Feeds the Change data model."
solarwinds:orion,app,operational,,none,"Alerts.Alerts, Performance.All_Performance",SolarWinds,SolarWinds Orion NPM events,"SolarWinds Orion NPM events - node up/down, threshold alerts, and admin activity from the Orion platform."
sonarqube:events,app,operational,,low,Vulnerabilities.Vulnerabilities,SonarSource,SonarQube code analysis events,"SonarSource SonarQube event log - project, quality gate, scan run, and admin activity from the SonarQube webhook/API."
sonicwall,network,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",SonicWall,SonicWall firewall logs,"SonicWall NGFW syslog - traffic, IPS, application control, anti-spyware events. Feeds Network_Traffic, IDS data models."
sophos,security,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",Sophos,Sophos endpoint protection logs,"Sophos Central / Intercept X endpoint event log - malware, exploit, ransomware rollback, web protection events."
splunk,linux,operational,SIEM,med,Alerts.Alerts,Splunk,Splunk platform logs,"Generic Splunk-emitted log catch-all - typically used when finer routing has not been configured. Prefer splunkd, splunkd_access, splunk_python, etc. for specific subsystems."
splunk:cert:expiration,linux,operational,,low,Certificates.SSL,Splunk,Splunk certificate expiration monitor,"Splunk certificate expiration monitor output - tracks impending expiry for Splunk server/forwarder TLS certs. Operational hygiene, but security-relevant for inter-tier TLS posture."
splunk_disk_objects,linux,operational,,none,,Splunk,disk monitoring,"Splunk internal introspection - disk usage by indexes, components, and volumes (splunk_disk_objects index). Operational capacity telemetry."
splunk_python,linux,operational,,none,,Splunk,Python logs,"Splunk Python tier log (python.log) - tracebacks and messages from Python-based modular inputs, scripts, search commands, and add-ons."
splunk_resource_usage,linux,operational,,none,,Splunk,resource usage,Splunk introspection resource usage - per-process CPU/memory/IO sampled by the introspection generator. Operational platform health telemetry.
splunk_search,linux,operational,SIEM,low,Change.All_Changes,Splunk,Splunk search logs,"Splunk search audit detail (search.log per dispatch / search_messages.log) - per-search diagnostics including parsing, dispatch, and search-time errors."
splunk_web_access,linux,operational,SIEM,med,Web.Web,Splunk,Splunk web interface access logs,Splunk Web access log - the Python-tier splunkweb HTTP server access entries. Largely overlapping with splunkd_ui_access depending on Splunk version.
splunk_web_service,linux,operational,SIEM,low,Alerts.Alerts,Splunk,Splunk web service logs,"Splunk Web service log (web_service.log) - splunkweb application service messages including session, error, and route diagnostics."
splunkd,linux,operational,SIEM,med,Alerts.Alerts,Splunk,Splunk daemon logs,"Core Splunk daemon log from $SPLUNK_HOME/var/log/splunk/splunkd.log - indexing, search, replication, license, and component messages. Foundational for monitoring the Splunk platform itself."
splunkd_access,linux,operational,SIEM,med,Web.Web,Splunk,Splunk daemon access logs,Splunk daemon REST/HTTP access log (splunkd_access.log) - per-request logs for the management port (default 8089). Used for Splunk admin/API audit visibility.
splunkd_conf,linux,operational,,none,,Splunk,configuration change logs,Splunk configuration change log (configuration_change.log) - records conf-file modifications applied via splunk reload or REST. Important Change data model source for the Splunk platform itself.
splunkd_stderr,linux,operational,,none,,Splunk,daemon error output,Splunkd stderr output (splunkd_stderr.log) - low-level process/library errors emitted outside the structured splunkd.log channel.
splunkd_ui_access,linux,operational,,none,,Splunk,UI access logs,"Splunk Web UI access log (splunkd_ui_access.log) - HTTP access entries for the Splunk Web frontend (default 8000), useful for SearchHead user activity tracking."
squid,network,security,SWG,med,"Web.Proxy, Network_Traffic.All_Traffic",Squid,Squid proxy server logs,Squid forward proxy umbrella sourcetype - typically routed to squid:access when access logs are the source. Web data model contributor.
squid/access,network,security,SWG,med,"Web.Web, Network_Traffic.All_Traffic",Squid,Squid access log (alt naming),"Squid forward-proxy access log entries indexed under a path-style sourcetype (squid/access rather than squid:access). HTTP method, URL, client IP, status, cache hit/miss outcome."
squid:access,security,security,SWG,med,Web.Web,Squid,Squid proxy access logs,"Squid forward proxy access log - per-request URL, action, cache result, content type, MIME. Feeds the Web data model."
squid:cache,network,operational,,low,,Squid,Squid cache.log operational events,"Squid forward proxy cache.log entries: cache manager events, errors, startup/shutdown messages, and operational diagnostics. Not user-traffic data."
ssh,linux,security,IAM,high,Authentication.Authentication,,SSH server logs,Generic SSH server/session log catch-all - typically routes to linux_secure/auth on Linux or sshd events on Windows. Feeds the Authentication data model.
ssl_access_log,linux,security,,med,Web.Web,,Web/SSL access logs,Apache mod_ssl access log variant - records of HTTPS-only requests on Apache with SSL-aware fields. Feeds the Web data model.
ssl_request_log,linux,security,,med,Web.Web,,Web/SSL access logs,"Apache mod_ssl request log - per-handshake SSL/TLS protocol, cipher, and client certificate detail. Useful for TLS inventory and cipher hygiene reporting."
ssm:document,aws,operational,,low,Change.All_Changes,Amazon Web Services,AWS SSM document execution events,"AWS Systems Manager document execution events - records of Run Command, State Manager association, and Automation document invocations against managed instances."
sssd,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,"System Security Services Daemon (SSSD) main log - cache, sudo, NSS, and provider activity. Authentication-relevant on AD/IdM-joined Linux hosts."
sssd_kcm,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD Kerberos Cache Manager log - per-user Kerberos credential cache activity managed by the kcm daemon. Authentication-relevant.
sssd_nss,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD NSS responder log - Name Service Switch lookups for users/groups served by SSSD. Identity_Management data model contributor.
sssd_pac,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD PAC responder log - Privilege Attribute Certificate processing for AD-joined hosts. Critical for accurate group membership in authentication events.
sssd_pam,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD PAM responder log - PAM authentication request handling for SSSD-backed services. Feeds the Authentication data model.
stash,linux,operational,,none,,Splunk,summary index stash,Internal Splunk-generated source assigned to summarized events written via collect/sistats/sitop and tstats summary indexing. Should not be a primary search target.
statistics,linux,operational,,none,Performance.All_Performance,,Generic statistics data,"Generic statistics data sourcetype - varies by source. Performance telemetry, no CIM mapping by default."
suricata,network,security,IDS,high,Intrusion_Detection.IDS_Attacks,Suricata,Suricata IDS/IPS logs,"Suricata IDS/IPS eve.json output - alerts, flows, http, dns, tls, file events. Feeds IDS, Network_Traffic, Web, Email, and Network_Resolution data models."
swap_monitor,linux,operational,,none,Performance.Memory,Linux,Linux swap utilization metrics,Splunk_TA_nix swap utilization metric input - swap free/used over time. Operational performance only.
swp,linux,operational,,none,,,Swap file data,Generic swap file/state data - capture of swap-related state typically from /proc or scripted input. Performance telemetry.
sybase:audit,app,security,,med,"Data_Access.All_Data_Access_Logs, Authentication.Authentication",SAP,SAP Sybase ASE audit logs,SAP/Sybase ASE audit trail - per-event database access and admin activity. Feeds the Change data model for the SAP ASE platform.
symantec,security,security,EPP,high,Malware.Malware_Operations,Symantec,Symantec antivirus logs,"Symantec Endpoint Protection (SEP) log - virus, IDS, application/device control, behavioral detection events."
syslog,linux,security,,med,"Alerts.Alerts, Change.All_Changes, Intrusion_Detection.IDS_Attacks",Unix/Linux,Generic syslog messages,Generic syslog catch-all - the default sourcetype for unparsed UDP/TCP 514 traffic. Should typically be re-routed to vendor-specific sourcetypes via props/transforms.
systemd,linux,operational,,med,Change.All_Changes,Linux,Systemd service manager logs,"Systemd service manager event logs - unit start/stop/fail, dependency resolution, target transitions. Operational availability monitoring."
tanium,security,security,EDR,high,"Endpoint.Processes, Vulnerabilities.Vulnerabilities",Tanium,Tanium endpoint management logs,"Tanium endpoint platform log - sensor query results, action execution, comply/patch findings. Feeds Endpoint and Vulnerabilities data models."
tcpdump,network,security,,med,Network_Traffic.All_Traffic,,tcpdump packet capture data,tcpdump packet capture output captured as text or PCAP-derived events - per-packet decode for forensic and protocol analysis.
teams,windows,operational,,low,"Change.All_Changes, Authentication.Authentication",Microsoft,Microsoft Teams collaboration logs,"Microsoft Teams collaboration events - messages, calls, meetings, channel activity, app usage from the M365 audit log."
telegraf,linux,operational,,none,Performance.All_Performance,,Telegraf metrics agent,InfluxData Telegraf agent metric stream - host and application metrics shipped in Telegraf line-protocol/JSON format. Operational metric telemetry.
telnet,linux,security,IAM,med,Authentication.Authentication,,Telnet server logs,Generic Telnet daemon/session log - cleartext remote login activity. Authentication data model contributor (and security risk indicator on its own).
tenable:io:assets,security,operational,,low,Compute_Inventory.All_Inventory,Tenable,Tenable.io asset inventory,"Tenable.io asset inventory exported via the Splunk Add-on for Tenable - asset UUID, hostnames, IPs, OS, last seen, sources. Critical for ES Assets/Identities enrichment."
tenable:io:plugin,security,operational,,low,,Tenable,Tenable.io plugin information,Tenable.io plugin metadata - same conceptual content as nessus:plugin scoped to the io tenant. Used as a lookup to enrich vuln findings.
tenable:io:vuln,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable.io vulnerability data,"Tenable.io vulnerability finding records - per-host/per-plugin findings with state (open/fixed/reopened), severity, CVE list. Primary Vulnerabilities data model source for Tenable.io."
tenable:io:vuln_summary:ar,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable vulnerability data,Tenable.io vulnerability summary asset record - rolled-up exposure per asset including counts by severity. Useful for high-cardinality dashboarding without per-finding fanout.
tenable:sc:asset,security,operational,,low,Compute_Inventory.All_Inventory,Tenable,Tenable Security Center asset data,Tenable Security Center asset list/group records - one entry per defined asset list or static asset. Inventory/scoping metadata.
tenable:sc:assets,security,security,VMS,med,Vulnerabilities.Vulnerabilities,Tenable,Tenable asset data,Tenable Security Center asset inventory - per-host asset records discovered across configured repositories. Feeds ES Assets/Identities.
tenable:sc:plugin,security,security,VMS,low,Vulnerabilities.Vulnerabilities,Tenable,Tenable Security Center plugin data,"Tenable Security Center plugin metadata - plugin ID, family, CVE refs, severity. Lookup data to enrich vuln events."
tenable:sc:plugins,security,security,VMS,med,,Tenable,Tenable plugin data,Plural variant of tenable:sc:plugin used by some add-on versions - same plugin metadata payload.
tenable:sc:policy,security,operational,,low,,Tenable,Tenable Security Center policy data,Tenable Security Center scan policy definitions - template-derived policies with included/excluded plugins. Inventory of scan configuration.
tenable:sc:repository,security,operational,,low,,Tenable,Tenable Security Center repository data,Tenable Security Center repository definitions - logical containers for scan data. Operational metadata used to scope vulnerability data correctly.
tenable:sc:scanresult,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable Security Center scan results,Tenable Security Center scan result summaries - per-scan completion metadata distinct from per-vulnerability findings.
tenable:sc:user,security,operational,,low,Compute_Inventory.User,Tenable,Tenable Security Center user data,"Tenable Security Center user account inventory - role, group, last login. Identity_Management data model contributor for the SC platform."
tenable:sc:vuln,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable Security Center vulnerability data,"Tenable Security Center vulnerability findings - per-host/per-plugin records with severity, CVE list, plugin_output, first/last discovered. Primary Vulnerabilities data model source for Tenable.sc."
terraform,app,operational,,med,Change.All_Changes,HashiCorp,Terraform infrastructure as code logs,"HashiCorp Terraform CLI / Cloud run log - plan/apply output, resource lifecycle actions, drift detection. Infrastructure-as-code change record."
threatconnect:event,security,security,TIP,high,Intrusion_Detection.IDS_Attacks,ThreatConnect,ThreatConnect threat intelligence,"ThreatConnect TIP event records - indicator, group, attribute, and analyst activity from the ThreatConnect platform. Feeds the Threat Intelligence framework."
time,linux,operational,,low,Performance.OS.Timesync,,Time sync data,Generic time-sync data sourcetype - typically `date`/`timedatectl`-derived snapshots. Operational telemetry.
tomcat,app,security,,med,Web.Web,Apache,Apache Tomcat application server logs,Apache Tomcat application server log - catalina.out and per-app stdout/stderr including stack traces. Feeds the Web data model when access logs are included.
too_small,linux,operational,,none,,Splunk,truncated events,Splunk Universal Forwarder artifact - emitted when a monitored file is below the minimum size for sourcetype detection. Indicates very short logs or rotation tail-ends; review and tune props.conf.
top,linux,operational,,none,Performance.CPU,Linux/Unix,Top process statistics,Splunk_TA_nix `top` scripted input - process resource snapshots ranked by CPU/memory. Performance telemetry with some process visibility.
tracking,linux,operational,,low,,,Generic tracking data,Generic tracking data sourcetype - application-specific tracking/event payloads. CIM mapping depends on contents.
TrendMicro,security,security,EPP,high,"Intrusion_Detection.IDS_Attacks, Malware.Malware_Operations",Trend Micro,Trend Micro antivirus logs,"Trend Micro endpoint and gateway security event log - antivirus, web reputation, behavior monitoring, and DLP events from Apex One/Deep Security/Apex Central."
tripwire,security,security,EPP,med,Change.All_Changes,Tripwire,Tripwire file integrity monitoring logs,"Tripwire file integrity monitoring agent log - file/directory change records: added, removed, modified, attribute change. Feeds the Change data model."
tripwire:enterprise,security,security,,high,"Change.All_Changes, Endpoint.Filesystem",Fortra,Tripwire Enterprise change log,"Tripwire Enterprise change manager log - asset configuration change events with rule, severity, baseline comparison. Distinct from open-source tripwire content."
trivy:scan:finding,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Aqua Security,Trivy container vuln scan findings,"Aqua Trivy scan finding - per-vulnerability/misconfig/secret/IaC issue in a container image, filesystem, or repo. Feeds Vulnerabilities and Configuration data models."
trivy:scan:summary,security,security,VMS,med,Vulnerabilities.Vulnerabilities,Aqua Security,Trivy container vuln scan summary,Aqua Trivy scan summary - per-target roll-up of finding counts by severity and category.
tsc:api:metrics:agents,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /agents endpoint. Operational telemetry for the SC API tier.
tsc:api:metrics:api_client,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - performance/health metrics emitted by the SC API client component. Operational telemetry.
tsc:api:metrics:ldapcheck,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /ldapcheck (LDAP integration test) endpoint. Operational telemetry.
tsc:api:metrics:organization,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /organization endpoint. Operational telemetry.
tsc:api:metrics:plugins,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /plugins endpoint. Operational telemetry.
tsc:api:metrics:repository,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /repository endpoint. Operational telemetry.
tsc:api:metrics:scanner,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /scanner endpoint. Operational telemetry.
tsc:api:metrics:scanner_manager,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - performance/health metrics for the SC scanner manager subsystem. Operational telemetry.
tsc:api:metrics:scanresult,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /scanResult endpoint. Operational telemetry.
tsc:api:metrics:scans,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /scans endpoint. Operational telemetry.
tsc:api:metrics:server,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - performance/health metrics for the SC server component. Operational telemetry.
tsc:api:metrics:softwareupdate,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /softwareUpdate endpoint. Operational telemetry.
tsc:api:metrics:status,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /status endpoint. Operational telemetry.
tsc:api:metrics:user,security,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /user endpoint. Operational telemetry.
tshark,network,security,,med,Network_Traffic.All_Traffic,Wireshark,TShark packet capture data,Wireshark tshark command-line capture output - per-packet decode rendered as text or JSON. Forensic packet analysis input.
tuned,linux,operational,,low,,Linux,Tuned system tuning daemon logs,"Red Hat tuned daemon log - records active tuning profile, applied sysctl/CPU tunings. Operational performance management."
ufw,linux,security,FW,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Linux,Ubuntu UFW firewall logs,Ubuntu Uncomplicated Firewall log - frontend logging for iptables/nftables on Debian/Ubuntu hosts. Connection allow/block events for the Network_Traffic data model.
unattended-upgrades,linux,operational,,low,Updates.Updates,Linux,Unattended upgrade logs,Debian/Ubuntu unattended-upgrades daemon log - records automatic security update installation. Useful for patch compliance reporting and the Updates data model.
unattended-upgrades-dpkg,linux,operational,,low,Updates.Updates,Linux,Unattended upgrade logs,Companion dpkg-level log for unattended-upgrades - the underlying package operations executed by the automated security update process.
Unix:ListeningPorts,linux,operational,,low,,Unix/Linux,Unix system data (Unix:ListeningPorts),Splunk_TA_nix scripted input - inventory of listening TCP/UDP sockets per host. Critical for attack surface inventory and Network_Sessions data.
Unix:Service,linux,operational,,low,Endpoint.Services,Unix/Linux,Unix system data (Unix:Service),Splunk_TA_nix scripted input - installed/enabled services snapshot from systemd or init. Feeds the Inventory data model.
Unix:SSHDConfig,linux,operational,,low,,Unix/Linux,Unix system data (Unix:SSHDConfig),Splunk_TA_nix scripted input - sshd_config snapshot. Used for CIS benchmark and SSH hardening compliance reporting.
Unix:Update,linux,operational,,low,Updates.All_Updates,Unix/Linux,Unix system update logs,Splunk_TA_nix scripted input - available/installed package update inventory across yum/dnf/apt/zypper. Feeds the Updates data model.
Unix:Uptime,linux,operational,,low,Performance.OS,Linux,Linux Unix:Uptime,"Splunk_TA_nix scripted input - host uptime snapshots (boot time, load averages). Operational availability data."
Unix:UserAccounts,linux,operational,,low,Compute_Inventory.All_Inventory,Linux,Linux Unix:UserAccounts,Splunk_TA_nix scripted input - local user account inventory from /etc/passwd and /etc/shadow attributes. Feeds the Inventory and Identity_Management data models.
Unix:Version,linux,operational,,low,Compute_Inventory.All_Inventory,Unix/Linux,Unix system data (Unix:Version),"Splunk_TA_nix scripted input - OS, kernel, and platform version snapshot. Inventory data."
Unix:VSFTPDConfig,linux,operational,,low,,Unix/Linux,Unix system data (Unix:VSFTPDConfig),Splunk_TA_nix scripted input - vsftpd FTP server configuration snapshot. Niche compliance/inventory use.
unknown,linux,unknown,,low,,,Unknown sourcetype,Splunk-internal placeholder when sourcetype detection produced no match - investigate the input and configure props/transforms to assign a proper sourcetype.
uptime,linux,operational,,none,Performance.Performance,Linux/Unix,System uptime information,Splunk_TA_nix `uptime` command output - load averages and elapsed boot time. Pure availability metric.
usersWithLoginPrivs,linux,security,IAM,high,Authentication.Authentication,,Authentication logs (usersWithLoginPrivs),Inventory snapshot of accounts with interactive logon rights on a host - typically from a scripted enumeration. Identity_Management data model contributor.
vault,app,security,PAM,high,"Authentication.Authentication, Change.Audit_Logs",HashiCorp,HashiCorp Vault secrets management logs,"HashiCorp Vault audit log - secrets engine, auth method, and admin path activity with request/response hashing. Primary PAM source for HashiCorp Vault."
